Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
87265,500,4,,,,,,,
87269,504,0,1a,1,,,,,
87273,570,17,,,,,,,
87275,534,49,8,,,,,,
87276,500,4,,,,,,,
87280,513,0,0,0,0,,,,
87280,548,0f,d0,0,a3,c0,0,,
87280,504,0,1a,1,,,,,
87281,524,0,0,0,0,5,0,5,9
87283,540,7,90,0,0c,b0,0,,
87283,512,0,0,0,0,,,,
87284,508,0,0,0,0,3,,,
87284,509,ae,5,f4,1,59,3,,
87284,538,0,0,aa,2,98,2,4,2
87287,544,0a,90,0,8,30,5,,
87290,500,4,,,,,,,
87291,504,0,1a,1,,,,,
87294,568,18,,,,,,,
87295,534,48,8,,,,,,
87298,520,0,9,5,5,3,5,5,4
87298,500,4,,,,,,,
87301,52c,0,,,,,,,
87301,56c,18,,,,,,,
87302,504,0,1a,1,,,,,
87303,513,0,0,0,0,,,,
87306,50c,8b,5,1,,,,,
87309,512,0,0,0,0,,,,
87309,500,4,,,,,,,
87312,54c,0b,c0,0,0c,90,0,,
87313,504,0,1a,1,,,,,
87315,510,79,5,0,,,,,
87317,534,54,8,,,,,,
87320,55c,18,,,,,,,
87320,500,4,,,,,,,
87324,504,0,1a,1,,,,,
87327,528,0,,,,,,,
87329,564,17,,,,,,,
87329,513,0,0,0,0,,,,
87330,548,0f,d0,0,87,c0,0,,
87331,500,4,,,,,,,
87332,524,0,0,0,0,5,0,5,9
87333,540,7,90,0,0c,b0,0,,
87335,538,0,0,aa,2,98,2,1,2
87335,509,ac,5,f5,1,56,3,,
87335,504,0,1a,1,,,,,
87338,508,0,0,0,0,3,,,
87338,512,0,0,0,0,,,,
87338,554,0,0,0,0,,,,
87339,544,0a,90,0,8,40,5,,
87339,534,48,8,,,,,,
87339,514,0,4,0,,,,,
87343,500,4,,,,,,,
87346,504,0,1a,1,,,,,
87348,520,0,9,5,5,3,5,5,4
87353,500,4,,,,,,,
87356,50c,86,5,1,,,,,
87357,513,0,0,0,0,,,,
87357,504,0,1a,1,,,,,
87358,560,17,,,,,,,
87359,534,49,8,,,,,,
87361,512,0,0,0,0,,,,
87364,54c,0c,c0,0,0c,90,0,,
87364,500,4,,,,,,,
87368,504,0,1a,1,,,,,
87375,500,4,,,,,,,
87379,504,0,1a,1,,,,,
87381,513,0,0,0,0,,,,
87382,534,53,8,,,,,,
87382,548,0f,d0,0,96,c0,0,,
87384,524,0,0,0,0,5,0,5,9
87384,540,7,90,0,0b,a0,0,,
87386,508,0,0,0,0,3,,,
87386,509,af,5,f4,1,56,3,,
87386,538,0,0,aa,2,98,2,1,2
87386,500,4,,,,,,,
87389,512,0,0,0,0,,,,
87390,504,0,1a,1,,,,,
87390,544,0a,90,0,7,30,5,,
87398,500,4,,,,,,,
87400,520,0,9,5,5,3,5,5,4
87401,504,0,1a,1,,,,,
87402,534,48,8,,,,,,
87403,52c,0,,,,,,,
87406,50c,86,5,1,,,,,
87407,513,0,0,0,0,,,,
87410,500,4,,,,,,,
87412,504,0,1a,1,,,,,
87413,512,0,0,0,0,,,,
87416,54c,0b,c0,0,0c,90,0,,
87417,510,77,5,0,,,,,
87419,500,4,,,,,,,
87423,504,0,1a,1,,,,,
87424,534,48,8,,,,,,
87427,528,0,,,,,,,
87427,564,17,,,,,,,
87430,500,4,,,,,,,
87433,548,0e,c0,0,a6,c0,0,,
87433,513,0,0,0,0,,,,
87434,504,0,1a,1,,,,,
87435,524,0,0,0,0,5,0,5,9
87435,540,7,90,0,0c,b0,0,,
87437,508,0,0,0,0,3,,,
87437,509,ac,5,f5,1,53,3,,
87437,538,0,0,aa,2,98,2,fd,1
87439,512,0,0,0,0,,,,
87442,514,0,4,0,,,,,
87442,500,4,,,,,,,
87442,544,0a,90,0,7,30,5,,
87445,504,0,1a,1,,,,,
87446,534,53,8,,,,,,
87450,520,0,9,5,5,3,5,5,4
87453,500,4,,,,,,,
87456,504,0,1a,1,,,,,
87457,550,17,17,17,0,,,,
87457,50c,81,5,1,,,,,
87460,513,0,0,0,0,,,,
87463,500,4,,,,,,,
87465,512,0,0,0,0,,,,
87467,504,0,1a,1,,,,,
87467,534,48,8,,,,,,
87468,54c,0c,c0,0,0c,90,0,,
87474,570,17,,,,,,,
87474,500,4,,,,,,,
87478,504,0,1a,1,,,,,
87485,548,0e,d0,0,8d,c0,0,,
87488,500,4,,,,,,,
87488,513,0,0,0,0,,,,
87488,540,7,90,0,0c,b0,0,,
87488,524,0,0,0,0,5,0,5,9
87488,508,0,0,0,0,3,,,
87488,509,af,5,f5,1,54,3,,
87488,534,49,8,,,,,,
87488,538,0,0,aa,2,98,2,fc,1
87489,504,0,1a,1,,,,,
87491,512,0,0,0,0,,,,
87494,544,0a,90,0,7,30,5,,
87495,568,18,,,,,,,
87496,500,4,,,,,,,
87500,504,0,1a,1,,,,,
87502,520,0,9,5,5,3,5,5,4
87502,56c,18,,,,,,,
87505,52c,0,,,,,,,
87508,500,4,,,,,,,
